business_id,cool,date,funny,review_id,stars,text,useful,user_id
--FnvijzY20d1nk9H7fk9w,0,2019-10-09 17:11:51,0,ha9TgGOiBr1l7Mi9D4szHA,5.0,Great Mexican Food at a great price! If you love authentic Mexican food at an affordable price you gotta check this place out! The best rice in the state. Stop by for lunch or dinner and you won't be disappointed.,0,czIk4xBskNcWieyWIHGqlA
--SrzpvFLwP_YFwB_Cetow,1,2011-02-28 21:07:48,0,a5DGTpucUmVYT-lyPSBKBw,4.0,"Keung's is one of my fave congee, rice and noodle places to go in Scarb seeing as Congee Wong's do not exist in my part of town.

As my sister and I wearily left the doctor's office today, prescriptions in hand and noses red as Rudolph... We wanted some hearty congee (the Chinese equivalent cold and flu remedy of the West's Chicken Noodle Soup).  Using my western thinking cap about how chicken is effective when you're sick we opted for 2 bowls of chicken and fish congee... Clocking in at $7 an order, it wasn't cheap... But be it my yen for over-MSG-ed food (as my taste buds were shot) or my need for a cold-comforting bowl of congee... Keung's always satisfies my taste buds.

Homemade congee just doesn't measure up in terms of taste to store-bought congee... Perhaps its the MSG that makes it so addictive? Oh well...",1,HFItzRohDHZvcKDrM6ABZg
--cZ6Hhc9F7VkKXxHMVZSQ,0,2008-08-24 16:35:22,0,0sRfH3GTUXqqxtkKck818Q,4.0,"The food is great (5*) but the prices are pretty high for what you get (3*).  A quarter chicken meal will run you $9~ and when you include a drink and tip, you are way over $10 for a pretty simple meal.  

The serving sizes are not large but the flavor is amazing and it's hard to beat.  I think this place has the best rotisserie chicken in Charlotte.

The location can be somewhat tricky to find.  Pio Pio is in the southeast corner of East and Scott.  It's in that shopping plaza and it's in the corner.  The last time I was there, Pio Pio did not have a real sign outside yet.",1,DQIt5Uv87fdS54b2oTXBMQ
--cZ6Hhc9F7VkKXxHMVZSQ,0,2010-01-18 18:50:25,0,bgA8LHJ8yQ6h0PrpOvXCaA,4.0,Saw this restaurant while trying to find another place...then it popped up on Yelp while searching for new places to try.  It is a cute little place and nicer inside than the exterior would lead you to believe.  Took the family and we all loved it.  The host/waiter was nice and helpful.  The chicken was great and the plantains were delicious.  We will definitely be going back.,2,NnMCDFCsaiJ3OgvzZJJ-cQ
--cZ6Hhc9F7VkKXxHMVZSQ,0,2011-02-16 13:57:00,0,-Ud_XVfiL4CAF4fAes4kKg,5.0,Delicious rotisserie chicken and sides!  One of my favorite places to go for lunch,0,8q5mg9bWe4A6wWuflL_dOQ
--cZ6Hhc9F7VkKXxHMVZSQ,0,2011-06-29 18:37:03,0,AshKzZz9B2fNivKrQO2keg,3.0,If your looking for something different to eat today at a great value stop into Pio Pio. Their salad comes with fresh avocado and their dressing is awesome. The entrees are served with a garlic sauce and a spicy sauce which are both great. I forget about it often because it's tucked back in the corner of the shopping center on East Blvd but have always enjoyed each meal I've had there.,0,oHdCkOf9gHSMhvJd4JbVrA
--cZ6Hhc9F7VkKXxHMVZSQ,0,2012-08-17 22:06:22,0,RXMz7Kl2FhKVKlyVA6xT9g,3.0,"I like this place, although it is quite small the food was pretty descent and the service was pleasant and friendly.
The only reason why I give it 3 stars is because the chicken ( their main dish) wasn't as yummy as I expected it, well seasoned around but a little dry.
The rest of the food we ordered was really good and well portioned, their Sangria is pretty good, I would go back definitely, I recommend it give it a try if you are in the area.
Oh btw their are different owners from the Pio Pio in Ballantine, the waiter made sure to clarify. :)",0,JfoVklSFhaOpbYJdlmXODg
--cZ6Hhc9F7VkKXxHMVZSQ,0,2012-11-13 00:07:23,0,Vop2JETYFrnO0mUy3aGy_w,5.0,"Living in Huntersville we don't venture down into Charlotte all too often, with plenty of good eats close to home. But word on the street was that Pio Pio was the place to pack in the poultry, and when a Groupon-esque deal came my way I just had to take advantage and see what the cluck everyone was talking about.

Pio Pio is hidden within a strip mall area, and not exactly the most likely place to find good eats. Don't let the location fool you...they are serving up fantastic food in that place! I like rotisserie chicken, be it from home, from Harris Teeter...heck, I'll even praise Boston Market! Yet the chicken at Pio Pio beats them all. We each got a 1/4 chicken combo and it was some of the best chicken I've ever had out. The chicken is succulent, moist, juicy, tender...basically cooked to perfection. The skin was an excellent, sinful indulgence that was too good to pass up. A combination of cooking technique and spices made this meal as good as it was. Here's a hint: let your server know if you prefer light or dark. Our server didn't ask and ended up placing a plate of dark meat in front of me and white meat in front of the miss'. Neither of us complained since that is what we would have ordered regardless, but I found it odd that they give different types of meat to customers without asking for preferences. 

Not only is the chicken great but the sides were pretty banging too. Ever since moving to the area I've been relatively disappointed with the rice and beans at most of the Mexican restaurants. I was shocked to find that best I've had wasn't at a typical Mexican joint but at Pio Pio. The rice is cooked PERFECTLY, with the right flavor and, more importantly (to me), the right texture. The beans are not refried mush, but actual beans in a gravy. A helpful hint is to pour those bad boys right into the rice, and you have yourself one heck of a side dish. 

The combo meal came with the chicken, rice, beans, and a choice of side. I chose to go with the yucca since I've never had it before, and I was glad I took the adventurous road. They fry the yucca like a french fry, but it's a thick brick instead of a little shoestring. The taste and texture is similar to a fry, but there's more substance to it, making it more filling. The miss' went with the plantains and they were down right tastetacular. Hot, sweet, carmelized plantains don't get much better than this. While I did enjoy the yucca, I would say the plantains are the way to go.

The chicken portion is slightly skimpy, but they fill you up with heaping helpings of sides. If you are a  connoisseur  of the poultry arts I highly recommend checking this place out. Great food and definitely worth the price!",0,46HhzhpBfTdTSB5ceTx_Og
--cZ6Hhc9F7VkKXxHMVZSQ,0,2012-12-05 20:45:51,1,wwARuHYxLkYNVoythj19Iw,4.0,"A local favorite of ours as it is literally right across the street from us...in fact I am looking out the window at it right now for inspiration.  It is a little bit hidden back in a strip mall which sounds bad but it's a nice strip mall...I mean c'mon it's Dilworth after all.  After you find it, parking is a breeze.

We almost exclusively go for the rotisserie chicken and saffron rice.  You absolutely can't go wrong with those.  From there we tend to mix it up each time and maybe do some soup or fried yuca or something like that.  Portions are pretty big...we almost always have a to go box.  And come to think of it I don't believe we have ever had dessert there.  But I'm sure if we did we would like it as well.  We can usually get out of there for $25-$30 for 2 people which is pretty good for us.

**update** we just ate at Pio Pio tonight and finally had dessert.  Got the tres leches and it was delish!  Another reason to like this place.

We give it 4.5 machu picchu's out of 5",0,AzDNcxmF3idbbn5H_jUwzw
--cZ6Hhc9F7VkKXxHMVZSQ,0,2013-01-05 05:57:05,0,qbCL6qRncPHLPI6bliwUGQ,4.0,Incredibly good chicken and salads. Very fresh and delicious. Try the spicy (green) salad dressing - it is one of the best dressings I've ever had. Will be back.,1,Ms_IgheMoEchpIZ4_0N5ZQ
